candidate_id,session_date,expiration,calendar_dte,target_credit,entry_time,short_symbol,long_symbol,partition,degraded,path_crosses_degraded_date,window_start_ns,window_end_exclusive_ns,short_raw_events,short_unique_timestamps,short_first_ns,short_last_ns,short_gaps_over_1s,short_max_gap_ns,short_stores,long_raw_events,long_unique_timestamps,long_first_ns,long_last_ns,long_gaps_over_1s,long_max_gap_ns,long_stores,has_owned_pair,entry_fresh_pair_seconds,preentry_fresh_pair_seconds,entry_supported,target_mid_3_crossing_windows,target_mid_3_windows_any_owned,baseline_target_2.95_crossing_windows,baseline_target_2.95_windows_any_owned,adverse_entry_plus_0.5_crossing_windows,adverse_entry_plus_0.5_windows_any_owned,adverse_7_crossing_windows,adverse_7_windows_any_owned,adverse_8_crossing_windows,adverse_8_windows_any_owned,adverse_9_crossing_windows,adverse_9_windows_any_owned,settlement_status,settlement_available
0,2021-09-24,2021-09-27,3,5.0,2021-09-24T09:31:00-04:00,NDXP  210927P15240000,NDXP  210927P15230000,development,False,False,1632490200000000000,1632772800000000000,0,0,,,0,,[],0,0,,,0,,[],False,0.0,0.0,False,17,0,9,0,21,0,22,0,22,0,16,0,missing,False
1,2021-09-24,2021-09-27,3,6.0,2021-09-24T09:31:00-04:00,NDXP  210927P15290000,NDXP  210927P15280000,development,False,False,1632490200000000000,1632772800000000000,0,0,,,0,,[],0,0,,,0,,[],False,0.0,0.0,False,5,0,5,0,15,0,9,0,4,0,20,0,missing,False
2,2021-09-24,2021-09-27,3,7.0,2021-09-24T09:31:00-04:00,NDXP  210927P15330000,NDXP  210927P15320000,development,False,False,1632490200000000000,1632772800000000000,0,0,,,0,,[],0,0,,,0,,[],False,0.0,0.0,False,0,0,0,0,7,0,13,0,6,0,10,0,missing,False
3,2021-09-27,2021-09-29,2,5.0,2021-09-27T09:31:00-04:00,NDXP  210929P15260000,NDXP  210929P15250000,development,False,False,1632749400000000000,1632945600000000000,0,0,,,0,,[],0,0,,,0,,[],False,0.0,0.0,False,0,0,0,0,35,0,18,0,13,0,54,0,missing,False
4,2021-09-27,2021-09-29,2,6.0,2021-09-27T09:31:00-04:00,NDXP  210929P15290000,NDXP  210929P15280000,development,False,False,1632749400000000000,1632945600000000000,0,0,,,0,,[],0,0,,,0,,[],False,0.0,0.0,False,0,0,0,0,19,0,23,0,25,0,49,0,missing,False
5,2021-09-27,2021-09-29,2,7.0,2021-09-27T09:31:00-04:00,NDXP  210929P15340000,NDXP  210929P15330000,development,False,False,1632749400000000000,1632945600000000000,0,0,,,0,,[],0,0,,,0,,[],False,0.0,0.0,False,0,0,0,0,48,0,20,0,56,0,44,0,missing,False
6,2021-09-28,2021-10-01,3,5.0,2021-09-28T09:31:00-04:00,NDXP  211001P15100000,NDXP  211001P15090000,development,False,False,1632835800000000000,1633118400000000000,0,0,,,0,,[],0,0,,,0,,[],False,0.0,0.0,False,0,0,0,0,7,0,44,0,51,0,94,0,missing,False
7,2021-09-28,2021-10-01,3,6.0,2021-09-28T09:31:00-04:00,NDXP  211001P15450000,NDXP  211001P15440000,development,False,False,1632835800000000000,1633118400000000000,0,0,,,0,,[],0,0,,,0,,[],False,0.0,0.0,False,1,0,1,0,10,0,16,0,47,0,86,0,missing,False
8,2021-09-28,2021-10-01,3,7.0,2021-09-28T09:31:00-04:00,NDXP  211001P15210000,NDXP  211001P15200000,development,False,False,1632835800000000000,1633118400000000000,0,0,,,0,,[],0,0,,,0,,[],False,0.0,0.0,False,0,0,0,0,28,0,20,0,54,0,141,0,missing,False
9,2021-09-29,2021-10-01,2,5.0,2021-09-29T09:31:00-04:00,NDXP  211001P14910000,NDXP  211001P14900000,development,False,False,1632922200000000000,1633118400000000000,0,0,,,0,,[],0,0,,,0,,[],False,0.0,0.0,False,5,0,5,0,41,0,24,0,13,0,26,0,missing,False
10,2021-09-29,2021-10-01,2,6.0,2021-09-29T09:31:00-04:00,NDXP  211001P14990000,NDXP  211001P14980000,development,False,False,1632922200000000000,1633118400000000000,0,0,,,0,,[],0,0,,,0,,[],False,0.0,0.0,False,0,0,0,0,40,0,43,0,38,0,46,0,missing,False
11,2021-09-29,2021-10-01,2,7.0,2021-09-29T09:31:00-04:00,NDXP  211001P15070000,NDXP  211001P15060000,development,False,False,1632922200000000000,1633118400000000000,0,0,,,0,,[],0,0,,,0,,[],False,0.0,0.0,False,1,0,1,0,33,0,17,0,50,0,88,0,missing,False
12,2021-10-01,2021-10-04,3,5.0,2021-10-01T09:31:00-04:00,NDXP  211004P14720000,NDXP  211004P14710000,development,False,False,1633095000000000000,1633377600000000000,0,0,,,0,,[],0,0,,,0,,[],False,0.0,0.0,False,8,0,7,0,23,0,7,0,6,0,10,0,missing,False
13,2021-10-01,2021-10-04,3,6.0,2021-10-01T09:31:00-04:00,NDXP  211004P15860000,NDXP  211004P15850000,development,False,False,1633095000000000000,1633377600000000000,0,0,,,0,,[],0,0,,,0,,[],False,0.0,0.0,False,0,0,0,0,7,0,6,0,11,0,27,0,missing,False
14,2021-10-01,2021-10-04,3,7.0,2021-10-01T09:31:00-04:00,NDXP  211004P15860000,NDXP  211004P15850000,development,False,False,1633095000000000000,1633377600000000000,0,0,,,0,,[],0,0,,,0,,[],False,0.0,0.0,False,0,0,0,0,7,0,6,0,11,0,27,0,missing,False
15,2021-10-04,2021-10-06,2,5.0,2021-10-04T09:31:00-04:00,NDXP  211006P14770000,NDXP  211006P14760000,development,False,False,1633354200000000000,1633550400000000000,0,0,,,0,,[],0,0,,,0,,[],False,0.0,0.0,False,1,0,1,0,22,0,41,0,41,0,46,0,missing,False
16,2021-10-04,2021-10-06,2,6.0,2021-10-04T09:31:00-04:00,NDXP  211006P14840000,NDXP  211006P14830000,development,False,False,1633354200000000000,1633550400000000000,0,0,,,0,,[],0,0,,,0,,[],False,0.0,0.0,False,0,0,0,0,28,0,31,0,35,0,94,0,missing,False
17,2021-10-04,2021-10-06,2,7.0,2021-10-04T09:31:00-04:00,NDXP  211006P14900000,NDXP  211006P14890000,development,False,False,1633354200000000000,1633550400000000000,0,0,,,0,,[],0,0,,,0,,[],False,0.0,0.0,False,0,0,0,0,13,0,11,0,46,0,86,0,missing,False
18,2021-10-05,2021-10-08,3,5.0,2021-10-05T09:31:00-04:00,NDXP  211008P14610000,NDXP  211008P14600000,development,False,False,1633440600000000000,1633723200000000000,0,0,,,0,,[],0,0,,,0,,[],False,0.0,0.0,False,25,0,35,0,3,0,1,0,1,0,1,0,missing,False
19,2021-10-05,2021-10-08,3,6.0,2021-10-05T09:31:00-04:00,NDXP  211008P14690000,NDXP  211008P14680000,development,False,False,1633440600000000000,1633723200000000000,0,0,,,0,,[],0,0,,,0,,[],False,0.0,0.0,False,2,0,2,0,4,0,0,0,0,0,0,0,missing,False
20,2021-10-05,2021-10-08,3,7.0,2021-10-05T09:31:00-04:00,NDXP  211008P14760000,NDXP  211008P14750000,development,False,False,1633440600000000000,1633723200000000000,0,0,,,0,,[],0,0,,,0,,[],False,0.0,0.0,False,1,0,1,0,5,0,11,0,1,0,0,0,missing,False
21,2021-10-06,2021-10-08,2,5.0,2021-10-06T09:31:00-04:00,NDXP  211008P14590000,NDXP  211008P14580000,development,False,False,1633527000000000000,1633723200000000000,0,0,,,0,,[],0,0,,,0,,[],False,0.0,0.0,False,7,0,7,0,1,0,0,0,0,0,0,0,missing,False
22,2021-10-06,2021-10-08,2,6.0,2021-10-06T09:31:00-04:00,NDXP  211008P14660000,NDXP  211008P14650000,development,False,False,1633527000000000000,1633723200000000000,0,0,,,0,,[],0,0,,,0,,[],False,0.0,0.0,False,8,0,8,0,1,0,0,0,0,0,0,0,missing,False
23,2021-10-06,2021-10-08,2,7.0,2021-10-06T09:31:00-04:00,NDXP  211008P14720000,NDXP  211008P14710000,development,False,False,1633527000000000000,1633723200000000000,0,0,,,0,,[],0,0,,,0,,[],False,0.0,0.0,False,1,0,1,0,1,0,2,0,0,0,0,0,missing,False
24,2021-10-08,2021-10-11,3,5.0,2021-10-08T09:31:00-04:00,NDXP  211011P14950000,NDXP  211011P14940000,development,False,False,1633699800000000000,1633982400000000000,0,0,,,0,,[],0,0,,,0,,[],False,0.0,0.0,False,0,0,0,0,10,0,24,0,23,0,10,0,missing,False
25,2021-10-08,2021-10-11,3,6.0,2021-10-08T09:31:00-04:00,NDXP  211011P15000000,NDXP  211011P14990000,development,False,False,1633699800000000000,1633982400000000000,0,0,,,0,,[],0,0,,,0,,[],False,0.0,0.0,False,0,0,0,0,11,0,18,0,44,0,18,0,missing,False
26,2021-10-08,2021-10-11,3,7.0,2021-10-08T09:31:00-04:00,NDXP  211011P15050000,NDXP  211011P15040000,development,False,False,1633699800000000000,1633982400000000000,0,0,,,0,,[],0,0,,,0,,[],False,0.0,0.0,False,0,0,0,0,16,0,6,0,15,0,37,0,missing,False
27,2021-10-11,2021-10-13,2,5.0,2021-10-11T09:31:00-04:00,NDXP  211013P14810000,NDXP  211013P14800000,development,False,False,1633959000000000000,1634155200000000000,0,0,,,0,,[],0,0,,,0,,[],False,0.0,0.0,False,12,0,14,0,12,0,53,0,48,0,21,0,missing,False
28,2021-10-11,2021-10-13,2,6.0,2021-10-11T09:31:00-04:00,NDXP  211013P14870000,NDXP  211013P14860000,development,False,False,1633959000000000000,1634155200000000000,0,0,,,0,,[],0,0,,,0,,[],False,0.0,0.0,False,0,0,0,0,11,0,20,0,35,0,43,0,missing,False
29,2021-10-11,2021-10-13,2,7.0,2021-10-11T09:31:00-04:00,NDXP  211013P14930000,NDXP  211013P14920000,development,False,False,1633959000000000000,1634155200000000000,0,0,,,0,,[],0,0,,,0,,[],False,0.0,0.0,False,0,0,0,0,9,0,10,0,17,0,69,0,missing,False
30,2021-10-15,2021-10-18,3,5.0,2021-10-15T09:31:00-04:00,NDXP  211018P15100000,NDXP  211018P15090000,development,False,False,1634304600000000000,1634587200000000000,0,0,,,0,,[],0,0,,,0,,[],False,0.0,0.0,False,6,0,3,0,6,0,0,0,0,0,0,0,missing,False
31,2021-10-15,2021-10-18,3,6.0,2021-10-15T09:31:00-04:00,NDXP  211018P15140000,NDXP  211018P15130000,development,False,False,1634304600000000000,1634587200000000000,0,0,,,0,,[],0,0,,,0,,[],False,0.0,0.0,False,2,0,2,0,3,0,1,0,0,0,0,0,missing,False
32,2021-10-15,2021-10-18,3,7.0,2021-10-15T09:31:00-04:00,NDXP  211018P15190000,NDXP  211018P15180000,development,False,False,1634304600000000000,1634587200000000000,0,0,,,0,,[],0,0,,,0,,[],False,0.0,0.0,False,8,0,9,0,3,0,24,0,2,0,2,0,missing,False
33,2021-10-18,2021-10-20,2,5.0,2021-10-18T09:31:00-04:00,NDXP  211020P15110000,NDXP  211020P15100000,development,False,False,1634563800000000000,1634760000000000000,0,0,,,0,,[],0,0,,,0,,[],False,0.0,0.0,False,3,0,4,0,0,0,0,0,0,0,0,0,missing,False
34,2021-10-18,2021-10-20,2,6.0,2021-10-18T09:31:00-04:00,NDXP  211020P15160000,NDXP  211020P15150000,development,False,False,1634563800000000000,1634760000000000000,0,0,,,0,,[],0,0,,,0,,[],False,0.0,0.0,False,2,0,7,0,0,0,0,0,0,0,0,0,missing,False
35,2021-10-18,2021-10-20,2,7.0,2021-10-18T09:31:00-04:00,NDXP  211020P15210000,NDXP  211020P15200000,development,False,False,1634563800000000000,1634760000000000000,0,0,,,0,,[],0,0,,,0,,[],False,0.0,0.0,False,4,0,6,0,1,0,3,0,1,0,1,0,missing,False
36,2021-10-19,2021-10-22,3,5.0,2021-10-19T09:31:00-04:00,NDXP  211022P15350000,NDXP  211022P15340000,development,False,False,1634650200000000000,1634932800000000000,0,0,,,0,,[],0,0,,,0,,[],False,0.0,0.0,False,31,0,30,0,10,0,2,0,0,0,0,0,missing,False
37,2021-10-19,2021-10-22,3,6.0,2021-10-19T09:31:00-04:00,NDXP  211022P15410000,NDXP  211022P15400000,development,False,False,1634650200000000000,1634932800000000000,0,0,,,0,,[],0,0,,,0,,[],False,0.0,0.0,False,12,0,12,0,6,0,10,0,18,0,25,0,missing,False
38,2021-10-19,2021-10-22,3,7.0,2021-10-19T09:31:00-04:00,NDXP  211022P15460000,NDXP  211022P15450000,development,False,False,1634650200000000000,1634932800000000000,0,0,,,0,,[],0,0,,,0,,[],False,0.0,0.0,False,2,0,2,0,6,0,24,0,2,0,12,0,missing,False
39,2021-10-20,2021-10-22,2,5.0,2021-10-20T09:31:00-04:00,NDXP  211022P15460000,NDXP  211022P15450000,development,False,False,1634736600000000000,1634932800000000000,0,0,,,0,,[],0,0,,,0,,[],False,0.0,0.0,False,2,0,2,0,48,0,19,0,2,0,12,0,missing,False
40,2021-10-20,2021-10-22,2,6.0,2021-10-20T09:31:00-04:00,NDXP  211022P15500000,NDXP  211022P15490000,development,False,False,1634736600000000000,1634932800000000000,0,0,,,0,,[],0,0,,,0,,[],False,0.0,0.0,False,0,0,0,0,48,0,45,0,20,0,8,0,missing,False
41,2021-10-20,2021-10-22,2,7.0,2021-10-20T09:31:00-04:00,NDXP  211022P15540000,NDXP  211022P15530000,development,False,False,1634736600000000000,1634932800000000000,0,0,,,0,,[],0,0,,,0,,[],False,0.0,0.0,False,0,0,0,0,52,0,32,0,70,0,24,0,missing,False
42,2021-10-22,2021-10-25,3,5.0,2021-10-22T09:31:00-04:00,NDXP  211025P15440000,NDXP  211025P15430000,development,False,False,1634909400000000000,1635192000000000000,0,0,,,0,,[],0,0,,,0,,[],False,0.0,0.0,False,1,0,1,0,8,0,41,0,9,0,0,0,missing,False
43,2021-10-22,2021-10-25,3,6.0,2021-10-22T09:31:00-04:00,NDXP  211025P15500000,NDXP  211025P15490000,development,False,False,1634909400000000000,1635192000000000000,0,0,,,0,,[],0,0,,,0,,[],False,0.0,0.0,False,4,0,4,0,9,0,7,0,16,0,46,0,missing,False
44,2021-10-22,2021-10-25,3,7.0,2021-10-22T09:31:00-04:00,NDXP  211025P15600000,NDXP  211025P15590000,development,False,False,1634909400000000000,1635192000000000000,0,0,,,0,,[],0,0,,,0,,[],False,0.0,0.0,False,0,0,0,0,5,0,3,0,6,0,44,0,missing,False
45,2021-10-25,2021-10-27,2,5.0,2021-10-25T09:31:00-04:00,NDXP  211027P15450000,NDXP  211027P15440000,development,False,False,1635168600000000000,1635364800000000000,0,0,,,0,,[],0,0,,,0,,[],False,0.0,0.0,False,19,0,10,0,9,0,0,0,0,0,0,0,missing,False
46,2021-10-25,2021-10-27,2,6.0,2021-10-25T09:31:00-04:00,NDXP  211027P16100000,NDXP  211027P16090000,development,False,False,1635168600000000000,1635364800000000000,0,0,,,0,,[],0,0,,,0,,[],False,0.0,0.0,False,1,0,1,0,3,0,3,0,8,0,34,0,missing,False
47,2021-10-25,2021-10-27,2,7.0,2021-10-25T09:31:00-04:00,NDXP  211027P15530000,NDXP  211027P15520000,development,False,False,1635168600000000000,1635364800000000000,0,0,,,0,,[],0,0,,,0,,[],False,0.0,0.0,False,9,0,9,0,16,0,17,0,3,0,0,0,missing,False
48,2021-10-26,2021-10-29,3,5.0,2021-10-26T09:31:00-04:00,NDXP  211029P15610000,NDXP  211029P15600000,development,False,False,1635255000000000000,1635537600000000000,0,0,,,0,,[],0,0,,,0,,[],False,0.0,0.0,False,15,0,18,0,24,0,0,0,0,0,0,0,missing,False
49,2021-10-26,2021-10-29,3,6.0,2021-10-26T09:31:00-04:00,NDXP  211029P15670000,NDXP  211029P15660000,development,False,False,1635255000000000000,1635537600000000000,0,0,,,0,,[],0,0,,,0,,[],False,0.0,0.0,False,24,0,31,0,39,0,9,0,0,0,0,0,missing,False
50,2021-10-26,2021-10-29,3,7.0,2021-10-26T09:31:00-04:00,NDXP  211029P15740000,NDXP  211029P15730000,development,False,False,1635255000000000000,1635537600000000000,0,0,,,0,,[],0,0,,,0,,[],False,0.0,0.0,False,2,0,1,0,39,0,44,0,16,0,0,0,missing,False
51,2021-10-27,2021-10-29,2,5.0,2021-10-27T09:31:00-04:00,NDXP  211029P15620000,NDXP  211029P15610000,development,False,False,1635341400000000000,1635537600000000000,0,0,,,0,,[],0,0,,,0,,[],False,0.0,0.0,False,13,0,16,0,1,0,0,0,0,0,0,0,missing,False
52,2021-10-27,2021-10-29,2,6.0,2021-10-27T09:31:00-04:00,NDXP  211029P15650000,NDXP  211029P15640000,development,False,False,1635341400000000000,1635537600000000000,0,0,,,0,,[],0,0,,,0,,[],False,0.0,0.0,False,17,0,20,0,0,0,0,0,0,0,0,0,missing,False
53,2021-10-27,2021-10-29,2,7.0,2021-10-27T09:31:00-04:00,NDXP  211029P15710000,NDXP  211029P15700000,development,False,False,1635341400000000000,1635537600000000000,0,0,,,0,,[],0,0,,,0,,[],False,0.0,0.0,False,5,0,4,0,2,0,12,0,1,0,1,0,missing,False
54,2021-10-29,2021-11-01,3,5.0,2021-10-29T09:31:00-04:00,NDXP  211101P15720000,NDXP  211101P15710000,development,False,False,1635514200000000000,1635796800000000000,0,0,,,0,,[],0,0,,,0,,[],False,0.0,0.0,False,6,0,10,0,4,0,0,0,0,0,0,0,missing,False
55,2021-10-29,2021-11-01,3,6.0,2021-10-29T09:31:00-04:00,NDXP  211101P15730000,NDXP  211101P15720000,development,False,False,1635514200000000000,1635796800000000000,0,0,,,0,,[],0,0,,,0,,[],False,0.0,0.0,False,28,0,23,0,0,0,0,0,0,0,0,0,missing,False
56,2021-10-29,2021-11-01,3,7.0,2021-10-29T09:31:00-04:00,NDXP  211101P15740000,NDXP  211101P15730000,development,False,False,1635514200000000000,1635796800000000000,0,0,,,0,,[],0,0,,,0,,[],False,0.0,0.0,False,20,0,14,0,0,0,1,0,0,0,0,0,missing,False
57,2021-11-01,2021-11-03,2,5.0,2021-11-01T09:31:00-04:00,NDXP  211103P15890000,NDXP  211103P15880000,development,False,False,1635773400000000000,1635969600000000000,0,0,,,0,,[],0,0,,,0,,[],False,0.0,0.0,False,17,0,18,0,24,0,0,0,0,0,0,0,missing,False
58,2021-11-01,2021-11-03,2,6.0,2021-11-01T09:31:00-04:00,NDXP  211103P15950000,NDXP  211103P15940000,development,False,False,1635773400000000000,1635969600000000000,0,0,,,0,,[],0,0,,,0,,[],False,0.0,0.0,False,15,0,14,0,28,0,17,0,0,0,0,0,missing,False
59,2021-11-01,2021-11-03,2,7.0,2021-11-01T09:31:00-04:00,NDXP  211103P16010000,NDXP  211103P16000000,development,False,False,1635773400000000000,1635969600000000000,0,0,,,0,,[],0,0,,,0,,[],False,0.0,0.0,False,3,0,3,0,35,0,17,0,24,0,2,0,missing,False
60,2021-11-02,2021-11-05,3,5.0,2021-11-02T09:31:00-04:00,NDXP  211105P15880000,NDXP  211105P15870000,development,False,False,1635859800000000000,1636142400000000000,0,0,,,0,,[],0,0,,,0,,[],False,0.0,0.0,False,22,0,21,0,0,0,0,0,0,0,0,0,missing,False
61,2021-11-02,2021-11-05,3,6.0,2021-11-02T09:31:00-04:00,NDXP  211105P15960000,NDXP  211105P15950000,development,False,False,1635859800000000000,1636142400000000000,0,0,,,0,,[],0,0,,,0,,[],False,0.0,0.0,False,3,0,3,0,0,0,0,0,0,0,0,0,missing,False
62,2021-11-02,2021-11-05,3,7.0,2021-11-02T09:31:00-04:00,NDXP  211105P16050000,NDXP  211105P16040000,development,False,False,1635859800000000000,1636142400000000000,0,0,,,0,,[],0,0,,,0,,[],False,0.0,0.0,False,5,0,8,0,0,0,4,0,0,0,0,0,missing,False
63,2021-11-03,2021-11-05,2,5.0,2021-11-03T09:31:00-04:00,NDXP  211105P16010000,NDXP  211105P16000000,development,False,False,1635946200000000000,1636142400000000000,0,0,,,0,,[],0,0,,,0,,[],False,0.0,0.0,False,5,0,8,0,10,0,0,0,0,0,0,0,missing,False
64,2021-11-03,2021-11-05,2,6.0,2021-11-03T09:31:00-04:00,NDXP  211105P16070000,NDXP  211105P16060000,development,False,False,1635946200000000000,1636142400000000000,0,0,,,0,,[],0,0,,,0,,[],False,0.0,0.0,False,3,0,3,0,11,0,2,0,0,0,0,0,missing,False
65,2021-11-03,2021-11-05,2,7.0,2021-11-03T09:31:00-04:00,NDXP  211105P16120000,NDXP  211105P16110000,development,False,False,1635946200000000000,1636142400000000000,0,0,,,0,,[],0,0,,,0,,[],False,0.0,0.0,False,4,0,4,0,7,0,46,0,2,0,0,0,missing,False
66,2021-11-05,2021-11-08,3,5.0,2021-11-05T09:31:00-04:00,NDXP  211108P16430000,NDXP  211108P16420000,development,False,False,1636119000000000000,1636405200000000000,0,0,,,0,,[],0,0,,,0,,[],False,0.0,0.0,False,0,0,0,0,5,0,19,0,22,0,37,0,missing,False
67,2021-11-05,2021-11-08,3,6.0,2021-11-05T09:31:00-04:00,NDXP  211108P16510000,NDXP  211108P16500000,development,False,False,1636119000000000000,1636405200000000000,0,0,,,0,,[],0,0,,,0,,[],False,0.0,0.0,False,0,0,0,0,28,0,16,0,33,0,21,0,missing,False
68,2021-11-05,2021-11-08,3,7.0,2021-11-05T09:31:00-04:00,NDXP  211108P16530000,NDXP  211108P16520000,development,False,False,1636119000000000000,1636405200000000000,0,0,,,0,,[],0,0,,,0,,[],False,0.0,0.0,False,0,0,0,0,18,0,19,0,34,0,26,0,missing,False
69,2021-11-08,2021-11-10,2,5.0,2021-11-08T09:31:00-05:00,NDXP  211110P16360000,NDXP  211110P16350000,development,False,False,1636381800000000000,1636578000000000000,0,0,,,0,,[],0,0,,,0,,[],False,0.0,0.0,False,0,0,0,0,14,0,18,0,43,0,11,0,missing,False
70,2021-11-08,2021-11-10,2,6.0,2021-11-08T09:31:00-05:00,NDXP  211110P16420000,NDXP  211110P16410000,development,False,False,1636381800000000000,1636578000000000000,0,0,,,0,,[],0,0,,,0,,[],False,0.0,0.0,False,1,0,1,0,23,0,16,0,34,0,47,0,missing,False
71,2021-11-08,2021-11-10,2,7.0,2021-11-08T09:31:00-05:00,NDXP  211110P16480000,NDXP  211110P16470000,development,False,False,1636381800000000000,1636578000000000000,0,0,,,0,,[],0,0,,,0,,[],False,0.0,0.0,False,0,0,0,0,30,0,43,0,20,0,41,0,missing,False
72,2021-11-09,2021-11-12,3,5.0,2021-11-09T09:31:00-05:00,NDXP  211112P16420000,NDXP  211112P16410000,development,False,False,1636468200000000000,1636750800000000000,0,0,,,0,,[],0,0,,,0,,[],False,0.0,0.0,False,1,0,1,0,1,0,23,0,25,0,48,0,missing,False
