candidate_id,session_date,calendar_dte,target_credit,modeled_entry,minute_touches,minute_touches_any_fresh_events,missed_minute_mid_crossings,missed_minute_ask_crossings,p2_rejected_supported,p3_rejected_supported,p2_approved_not_strong,p3_approved_not_strong,fast_6_5_4_3_rebound_sequences,conditional_fast_6_5_4_3_rebound_sequences,conditional_missed_minute_mid_crossings,conditional_missed_raw_minute_mid_crossings,conditional_missed_raw_minute_ask_crossings,conditional_p2_rejected_supported,conditional_p3_rejected_supported,conditional_p2_approved_not_strong,conditional_p3_approved_not_strong
939,2023-03-28,2,5.0,False,789,2,0,0,0,0,781,774,0,0,7,7,10,0,0,780,773
940,2023-03-28,2,6.0,False,713,2,0,0,0,0,693,676,0,1,23,23,11,1,1,692,675
941,2023-03-28,2,7.0,False,386,1,0,0,0,0,382,379,0,0,0,0,0,0,0,382,379
942,2023-03-28,3,5.0,False,809,2,0,0,0,0,790,777,0,2,5,5,9,0,0,789,776
943,2023-03-28,3,6.0,False,798,2,0,0,0,0,787,779,0,1,2,2,9,0,0,786,778
944,2023-03-28,3,7.0,False,780,2,0,0,0,0,768,761,0,0,7,7,1,1,1,767,760
945,2023-03-29,2,5.0,False,782,2,0,0,0,0,775,768,0,0,3,3,1,0,0,774,767
946,2023-03-29,2,6.0,False,707,1,0,0,0,0,685,668,0,1,46,46,0,0,0,685,668
947,2023-03-29,2,7.0,False,387,317,0,0,0,0,382,379,0,0,48,48,0,1,1,141,138
948,2023-03-31,3,5.0,False,643,1,0,0,0,0,632,623,0,0,1,1,0,0,0,632,623
949,2023-03-31,3,6.0,False,338,197,0,0,0,0,300,281,0,0,362,306,0,17,26,233,214
950,2023-03-31,3,7.0,False,130,0,0,0,0,0,112,102,0,1,2,2,0,0,0,112,102
951,2023-04-03,2,5.0,False,17,1,0,0,0,0,12,8,0,0,15,15,0,1,1,12,8
952,2023-04-03,2,6.0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
953,2023-04-03,2,7.0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
954,2023-04-03,3,5.0,False,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0
955,2023-04-03,3,6.0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
956,2023-04-03,3,7.0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
978,2023-04-17,2,5.0,False,234,1,0,0,0,0,223,215,0,0,3,3,0,0,0,223,215
979,2023-04-17,2,6.0,False,14,0,0,0,0,0,6,4,0,0,16,16,0,0,0,6,4
980,2023-04-17,2,7.0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
981,2023-04-17,3,5.0,False,23,0,0,0,0,0,14,10,0,0,27,27,0,0,0,14,10
982,2023-04-17,3,6.0,False,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
983,2023-04-17,3,7.0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1005,2023-04-28,3,5.0,False,374,337,0,0,0,0,358,348,0,7,627,466,0,12,20,92,83
1006,2023-04-28,3,6.0,False,118,118,0,0,0,0,112,108,0,8,73,73,0,6,10,29,26
1007,2023-04-28,3,7.0,False,37,0,0,0,0,0,28,22,0,0,0,0,0,0,0,28,22
1008,2023-05-01,2,5.0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1009,2023-05-01,2,6.0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1010,2023-05-01,2,7.0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1011,2023-05-01,3,5.0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1012,2023-05-01,3,6.0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1013,2023-05-01,3,7.0,False,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1041,2023-05-12,3,5.0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1042,2023-05-12,3,6.0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1043,2023-05-12,3,7.0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1077,2023-05-31,2,5.0,False,633,1,0,0,0,0,622,612,0,0,1,1,4,0,0,621,611
1078,2023-05-31,2,6.0,False,393,1,0,0,0,0,387,383,0,0,5,5,25,0,0,386,382
