instrument_expression,scenario_id,scenario_label,decomposition_axis,bucket,trade_count,total_gross_pnl_cash,total_fees_cash,total_slippage_cash,total_net_pnl_cash,average_net_trade_cash,median_net_trade_cash,win_rate,profit_factor,max_drawdown,largest_win,largest_loss,max_consecutive_losers
MGC,MGC_GROSS_ZERO_COST,MGC gross / zero cost,session,ASIA,1947,16334.8325,0.0,0.0,16334.8325,8.3897,8.0,58.9625,1.6193,946.3175,607.0,-542.2417,8
MGC,MGC_GROSS_ZERO_COST,MGC gross / zero cost,session,US,3018,22047.4825,0.0,0.0,22047.4825,7.3053,9.0,59.3108,1.4964,1547.3975,435.0933,-579.7333,9
MGC,MGC_GROSS_ZERO_COST,MGC gross / zero cost,year,2024,2095,8911.1417,0.0,0.0,8911.1417,4.2535,5.0,57.5179,1.5664,325.3317,101.44,-146.0,8
MGC,MGC_GROSS_ZERO_COST,MGC gross / zero cost,year,2025,2266,18313.9925,0.0,0.0,18313.9925,8.0821,13.0,60.4148,1.5778,756.5783,290.0,-282.2792,7
MGC,MGC_GROSS_ZERO_COST,MGC gross / zero cost,year,2026,604,11157.1808,0.0,0.0,11157.1808,18.4722,30.0,60.2649,1.4774,1768.9533,607.0,-579.7333,6
MGC,MGC_GROSS_ZERO_COST,MGC gross / zero cost,direction,LONG,4965,38382.315,0.0,0.0,38382.315,7.7306,9.0,59.1742,1.5422,1768.9533,607.0,-579.7333,8
MGC,MGC_GROSS_ZERO_COST,MGC gross / zero cost,exit_reason,stop,704,-42249.375,0.0,0.0,-42249.375,-60.0133,-39.3354,0.0,0.0,42249.375,-5.55,-579.7333,704
MGC,MGC_GROSS_ZERO_COST,MGC gross / zero cost,exit_reason,stop_first_conflict,4,-85.95,0.0,0.0,-85.95,-21.4875,-20.0312,0.0,0.0,85.95,-14.3667,-31.5208,4
MGC,MGC_GROSS_ZERO_COST,MGC gross / zero cost,exit_reason,target,1855,86486.64,0.0,0.0,86486.64,46.6235,32.76,100.0,86486.64,0.0,435.0933,6.5,0
MGC,MGC_GROSS_ZERO_COST,MGC gross / zero cost,exit_reason,time_stop,2402,-5769.0,0.0,0.0,-5769.0,-2.4017,-1.0,45.0874,0.7973,6009.0,607.0,-406.0,16
MGC,MGC_CURRENT_V2_COST_MODEL,MGC current v2 cost model,session,ASIA,1947,16334.8325,2920.5,9735.0,3679.3325,1.8897,1.5,51.8233,1.1148,3531.8125,600.5,-548.7417,11
MGC,MGC_CURRENT_V2_COST_MODEL,MGC current v2 cost model,session,US,3018,22047.4825,4527.0,15090.0,2430.4825,0.8053,2.5,52.6839,1.0458,3331.3492,428.5933,-586.2333,10
MGC,MGC_CURRENT_V2_COST_MODEL,MGC current v2 cost model,year,2024,2095,8911.1417,3142.5,10475.0,-4706.3583,-2.2465,-1.5,48.1623,0.7877,4794.0333,94.94,-152.5,12
MGC,MGC_CURRENT_V2_COST_MODEL,MGC current v2 cost model,year,2025,2266,18313.9925,3399.0,11330.0,3584.9925,1.5821,6.5,54.9426,1.0946,1985.5742,283.5,-288.7792,7
MGC,MGC_CURRENT_V2_COST_MODEL,MGC current v2 cost model,year,2026,604,11157.1808,906.0,3020.0,7231.1808,11.9722,23.5,57.1192,1.2893,2120.165,600.5,-586.2333,9
MGC,MGC_CURRENT_V2_COST_MODEL,MGC current v2 cost model,direction,LONG,4965,38382.315,7447.5,24825.0,6109.815,1.2306,2.5,52.3464,1.0718,5856.1858,600.5,-586.2333,12
MGC,MGC_CURRENT_V2_COST_MODEL,MGC current v2 cost model,exit_reason,stop,704,-42249.375,1056.0,3520.0,-46825.375,-66.5133,-45.8354,0.0,0.0,46825.375,-12.05,-586.2333,704
MGC,MGC_CURRENT_V2_COST_MODEL,MGC current v2 cost model,exit_reason,stop_first_conflict,4,-85.95,6.0,20.0,-111.95,-27.9875,-26.5312,0.0,0.0,111.95,-20.8667,-38.0208,4
MGC,MGC_CURRENT_V2_COST_MODEL,MGC current v2 cost model,exit_reason,target,1855,86486.64,2782.5,9275.0,74429.14,40.1235,26.26,100.0,74429.14,0.0,428.5933,0.0,0
MGC,MGC_CURRENT_V2_COST_MODEL,MGC current v2 cost model,exit_reason,time_stop,2402,-5769.0,3603.0,12010.0,-21382.0,-8.9017,-7.5,30.9742,0.4394,21570.0,600.5,-412.5,20
MGC,MGC_FEE_ONLY,MGC fee-only,session,ASIA,1947,16334.8325,2920.5,0.0,13414.3325,6.8897,6.5,57.2676,1.4862,953.8175,605.5,-543.7417,11
MGC,MGC_FEE_ONLY,MGC fee-only,session,US,3018,22047.4825,4527.0,0.0,17520.4825,5.8053,7.5,58.1511,1.3786,1592.3975,433.5933,-581.2333,10
MGC,MGC_FEE_ONLY,MGC fee-only,year,2024,2095,8911.1417,3142.5,0.0,5768.6417,2.7535,3.5,55.4654,1.3376,520.1867,99.94,-147.5,12
MGC,MGC_FEE_ONLY,MGC fee-only,year,2025,2266,18313.9925,3399.0,0.0,14914.9925,6.5821,11.5,59.5322,1.4513,773.0783,288.5,-283.7792,7
MGC,MGC_FEE_ONLY,MGC fee-only,year,2026,604,11157.1808,906.0,0.0,10251.1808,16.9722,28.5,59.4371,1.432,1816.9533,605.5,-581.2333,9
MGC,MGC_FEE_ONLY,MGC fee-only,direction,LONG,4965,38382.315,7447.5,0.0,30934.815,6.2306,7.5,57.8046,1.4188,1816.9533,605.5,-581.2333,12
MGC,MGC_FEE_ONLY,MGC fee-only,exit_reason,stop,704,-42249.375,1056.0,0.0,-43305.375,-61.5133,-40.8354,0.0,0.0,43305.375,-7.05,-581.2333,704
