lane_id,symbol,routing_mode,admitted,data_fresh,governance_allowed,route_ready,session_eligible,waiting_for_completed_bar,setup_evaluated,no_setup_present,actionable_now,blocked_lane,block_reason,fireability_classification,detected_phase_label,broad_trading_session,next_expected_decision_bar_ts,intent_action,eligible_to_trade
es_1x_asia_london_participation__asia_london_long_v6_vol_floor_125,ES,IBKR_ROUTED,True,True,True,True,False,False,True,True,False,False,wrong_session,FIREABLE_OUT_OF_SESSION,UNCLASSIFIED,US_EARLY,2026-04-29T10:44:00-04:00,NO_ACTION,False
es_1x_ny_early_core__us_early_long,ES,IBKR_ROUTED,True,True,True,True,True,True,True,False,False,False,no_new_completed_bar,FIREABLE_WAITING_FOR_BAR,UNCLASSIFIED,US_EARLY,2026-04-29T10:44:00-04:00,NO_ACTION,False
es_1x_ny_early_core__us_early_short_breakdown,ES,IBKR_ROUTED,True,True,True,True,True,True,True,False,False,False,no_new_completed_bar,FIREABLE_WAITING_FOR_BAR,UNCLASSIFIED,US_EARLY,2026-04-29T10:44:00-04:00,NO_ACTION,False
es_1x_ny_early_core__us_early_short_reclaim_fail,ES,IBKR_ROUTED,True,True,True,True,True,True,True,False,False,False,no_new_completed_bar,FIREABLE_WAITING_FOR_BAR,UNCLASSIFIED,US_EARLY,2026-04-29T10:44:00-04:00,NO_ACTION,False
es_1x_ny_early_core__us_late_long,ES,IBKR_ROUTED,True,True,True,True,False,False,False,False,False,False,wrong_session,FIREABLE_OUT_OF_SESSION,UNCLASSIFIED,US_EARLY,2026-04-29T10:44:00-04:00,NO_ACTION,False
es_1x_ny_early_core__us_late_short_reclaim_fail,ES,IBKR_ROUTED,True,True,True,True,False,False,False,False,False,False,wrong_session,FIREABLE_OUT_OF_SESSION,UNCLASSIFIED,US_EARLY,2026-04-29T10:44:00-04:00,NO_ACTION,False
es_1x_ny_early_core__us_midday_long,ES,IBKR_ROUTED,True,True,True,True,False,False,False,False,False,False,wrong_session,FIREABLE_OUT_OF_SESSION,UNCLASSIFIED,US_EARLY,2026-04-29T10:44:00-04:00,NO_ACTION,False
es_1x_ny_early_core__us_midday_short_breakdown,ES,IBKR_ROUTED,True,True,True,True,False,False,False,False,False,False,wrong_session,FIREABLE_OUT_OF_SESSION,UNCLASSIFIED,US_EARLY,2026-04-29T10:44:00-04:00,NO_ACTION,False
gc_1x_all_lanes__asia_early_long,GC,IBKR_ROUTED,True,True,True,True,False,False,False,False,False,False,wrong_session,FIREABLE_OUT_OF_SESSION,UNCLASSIFIED,US_EARLY,2026-04-29T10:44:00-04:00,NO_ACTION,False
gc_1x_all_lanes__asia_early_short,GC,IBKR_ROUTED,True,True,True,True,False,False,False,False,False,False,wrong_session,FIREABLE_OUT_OF_SESSION,UNCLASSIFIED,US_EARLY,2026-04-29T10:44:00-04:00,NO_ACTION,False
gc_1x_asia_london_participation__asia_london_long_v5,GC,IBKR_ROUTED,True,True,True,True,False,False,True,True,False,False,wrong_session,FIREABLE_OUT_OF_SESSION,UNCLASSIFIED,US_EARLY,2026-04-29T10:44:00-04:00,NO_ACTION,False
gc_1x_asia_london_participation__asia_london_short_v2,GC,IBKR_ROUTED,True,True,True,True,False,False,True,True,False,False,wrong_session,FIREABLE_OUT_OF_SESSION,UNCLASSIFIED,US_EARLY,2026-04-29T10:44:00-04:00,NO_ACTION,False
gc_1x_all_lanes__london_early_long,GC,IBKR_ROUTED,True,True,True,True,False,False,True,False,False,False,wrong_session,FIREABLE_OUT_OF_SESSION,UNCLASSIFIED,US_EARLY,2026-04-29T10:44:00-04:00,NO_ACTION,False
gc_1x_all_lanes__us_early_short,GC,IBKR_ROUTED,True,True,True,True,True,True,True,False,False,False,no_new_completed_bar,FIREABLE_WAITING_FOR_BAR,UNCLASSIFIED,US_EARLY,2026-04-29T10:44:00-04:00,NO_ACTION,False
gc_1x_all_lanes__us_midday_short,GC,IBKR_ROUTED,True,True,True,True,False,False,False,False,False,False,wrong_session,FIREABLE_OUT_OF_SESSION,UNCLASSIFIED,US_EARLY,2026-04-29T10:44:00-04:00,NO_ACTION,False
mes_1x_ny_early_core__us_early_long,MES,IBKR_ROUTED,True,True,True,True,True,True,True,False,False,False,no_new_completed_bar,FIREABLE_WAITING_FOR_BAR,UNCLASSIFIED,US_EARLY,2026-04-29T10:44:00-04:00,NO_ACTION,False
