strategy_id,source_instrument,governance_status,current_runtime_status,current_local_position_state,current_local_quantity,recent_local_trades,standardized_intent_action,routing_mode,adapter_ready,bridge_submit_capable,bridge_execution_target_symbol,bridge_execution_target_contract_month,blocker,classification
es_1x_asia_london_participation__asia_london_long_v6_vol_floor_125,ES,PROBATION_ACTIVE,READY,FLAT,0.0,,NO_ACTION,IBKR_SUBMIT_CAPABLE_NO_ACTION,True,True,MES,202606,,PAPER_LANE_SUBMIT_READY_NO_ACTION
es_1x_ny_early_core__us_early_long,ES,DEGRADED,READY,FLAT,0.0,,NO_ACTION,IBKR_SUBMIT_CAPABLE_NO_ACTION,True,True,MES,202606,,PAPER_LANE_SUBMIT_READY_NO_ACTION
es_1x_ny_early_core__us_early_short_breakdown,ES,PROMISING,READY,FLAT,0.0,,NO_ACTION,IBKR_SUBMIT_CAPABLE_NO_ACTION,True,True,MES,202606,,PAPER_LANE_SUBMIT_READY_NO_ACTION
es_1x_ny_early_core__us_early_short_reclaim_fail,ES,PROMISING,READY,FLAT,0.0,,NO_ACTION,IBKR_SUBMIT_CAPABLE_NO_ACTION,True,True,MES,202606,,PAPER_LANE_SUBMIT_READY_NO_ACTION
es_1x_ny_early_core__us_late_long,ES,DEGRADED,READY,FLAT,0.0,,NO_ACTION,IBKR_SUBMIT_CAPABLE_NO_ACTION,True,True,MES,202606,,PAPER_LANE_SUBMIT_READY_NO_ACTION
es_1x_ny_early_core__us_late_short_reclaim_fail,ES,DEGRADED,READY,FLAT,0.0,,NO_ACTION,IBKR_SUBMIT_CAPABLE_NO_ACTION,True,True,MES,202606,,PAPER_LANE_SUBMIT_READY_NO_ACTION
es_1x_ny_early_core__us_midday_long,ES,DEGRADED,READY,FLAT,0.0,,NO_ACTION,IBKR_SUBMIT_CAPABLE_NO_ACTION,True,True,MES,202606,,PAPER_LANE_SUBMIT_READY_NO_ACTION
es_1x_ny_early_core__us_midday_short_breakdown,ES,DEGRADED,READY,FLAT,0.0,,NO_ACTION,IBKR_SUBMIT_CAPABLE_NO_ACTION,True,True,MES,202606,,PAPER_LANE_SUBMIT_READY_NO_ACTION
mes_1x_ny_early_core__us_early_long,MES,DEGRADED,READY,FLAT,0.0,,NO_ACTION,IBKR_SUBMIT_CAPABLE_NO_ACTION,True,True,MES,202606,,PAPER_LANE_SUBMIT_READY_NO_ACTION
mes_1x_ny_early_core__us_early_short_breakdown,MES,PROMISING,READY,FLAT,0.0,,NO_ACTION,IBKR_SUBMIT_CAPABLE_NO_ACTION,True,True,MES,202606,,PAPER_LANE_SUBMIT_READY_NO_ACTION
mes_1x_ny_early_core__us_early_short_reclaim_fail,MES,PROMISING,READY,FLAT,0.0,,NO_ACTION,IBKR_SUBMIT_CAPABLE_NO_ACTION,True,True,MES,202606,,PAPER_LANE_SUBMIT_READY_NO_ACTION
mes_1x_ny_early_core__us_late_long,MES,PROMISING,READY,FLAT,0.0,,NO_ACTION,IBKR_SUBMIT_CAPABLE_NO_ACTION,True,True,MES,202606,,PAPER_LANE_SUBMIT_READY_NO_ACTION
mes_1x_ny_early_core__us_late_short_reclaim_fail,MES,DEGRADED,READY,FLAT,0.0,,NO_ACTION,IBKR_SUBMIT_CAPABLE_NO_ACTION,True,True,MES,202606,,PAPER_LANE_SUBMIT_READY_NO_ACTION
mes_1x_ny_early_core__us_midday_long,MES,PROBATION_ACTIVE,READY,FLAT,0.0,,NO_ACTION,IBKR_SUBMIT_CAPABLE_NO_ACTION,True,True,MES,202606,,PAPER_LANE_SUBMIT_READY_NO_ACTION
mes_1x_ny_early_core__us_midday_short_breakdown,MES,DEGRADED,READY,FLAT,0.0,,NO_ACTION,IBKR_SUBMIT_CAPABLE_NO_ACTION,True,True,MES,202606,,PAPER_LANE_SUBMIT_READY_NO_ACTION
