lane_id,source_instrument,executable_proxy,routing_mode,governance_status,current_intent,submit_capable,current_blocker,broker_path_pnl,internal_only_pnl,last_signal_time,last_local_trade_time,last_ibkr_broker_path_trade_time,readiness_bucket
es_1x_asia_london_participation__asia_london_long_v6_vol_floor_125,ES,MES,IBKR_ROUTED,PROBATION_ACTIVE,NO_ACTION,True,,0.00,0.00,,,,ready but waiting for signal
es_1x_ny_early_core__us_early_long,ES,MES,IBKR_ROUTED,DEGRADED,NO_ACTION,True,,0.00,-462.50,2026-04-27T08:26:00-04:00,2026-04-27T08:27:00-04:00,,ready but waiting for signal
es_1x_ny_early_core__us_early_short_breakdown,ES,MES,IBKR_ROUTED,PROMISING,NO_ACTION,True,,0.00,375.00,2026-04-27T08:24:00-04:00,2026-04-27T08:31:00-04:00,,ready but waiting for signal
es_1x_ny_early_core__us_early_short_reclaim_fail,ES,MES,IBKR_ROUTED,PROMISING,NO_ACTION,True,,0.00,287.50,2026-04-27T08:24:00-04:00,2026-04-27T08:49:00-04:00,,ready but waiting for signal
es_1x_ny_early_core__us_late_long,ES,MES,IBKR_ROUTED,DEGRADED,NO_ACTION,True,,0.00,-62.50,2026-04-28T13:35:00-04:00,2026-04-28T14:03:00-04:00,,ready but waiting for signal
es_1x_ny_early_core__us_late_short_reclaim_fail,ES,MES,IBKR_ROUTED,DEGRADED,NO_ACTION,True,,0.00,-787.50,2026-04-28T13:35:00-04:00,2026-04-28T13:36:00-04:00,,ready but waiting for signal
es_1x_ny_early_core__us_midday_long,ES,MES,IBKR_ROUTED,DEGRADED,NO_ACTION,True,,0.00,-12.50,2026-04-28T11:06:00-04:00,2026-04-28T11:07:00-04:00,,ready but waiting for signal
es_1x_ny_early_core__us_midday_short_breakdown,ES,MES,IBKR_ROUTED,DEGRADED,NO_ACTION,True,,0.00,-275.00,2026-04-28T11:05:00-04:00,2026-04-28T11:12:00-04:00,,ready but waiting for signal
gc_1x_all_lanes__asia_early_long,GC,MGC,IBKR_ROUTED,PROMISING,NO_ACTION,True,,0.00,920.00,2026-04-28T19:06:00-04:00,2026-04-28T19:07:00-04:00,,ready but waiting for signal
gc_1x_all_lanes__asia_early_short,GC,MGC,IBKR_ROUTED,DEGRADED,NO_ACTION,True,,0.00,-240.00,2026-04-28T19:05:00-04:00,2026-04-28T19:14:00-04:00,,ready but waiting for signal
gc_1x_all_lanes__london_early_long,GC,MGC,IBKR_ROUTED,KILL_CANDIDATE,NO_ACTION,True,,0.00,-1760.00,2026-04-29T03:04:00-04:00,2026-04-29T03:08:00-04:00,,ready but waiting for signal
gc_1x_all_lanes__us_early_short,GC,MGC,IBKR_ROUTED,PROMISING,NO_ACTION,True,,0.00,510.00,2026-04-27T08:25:00-04:00,2026-04-27T08:48:00-04:00,,ready but waiting for signal
gc_1x_all_lanes__us_midday_short,GC,MGC,IBKR_ROUTED,PROMISING,NO_ACTION,True,,0.00,260.00,2026-04-28T11:05:00-04:00,2026-04-28T11:12:00-04:00,,ready but waiting for signal
gc_1x_asia_london_participation__asia_london_long_v5,GC,MGC,IBKR_ROUTED,DEGRADED,NO_ACTION,True,,0.00,-40.00,2026-04-27T19:08:00-04:00,2026-04-27T19:09:00-04:00,,ready but waiting for signal
gc_1x_asia_london_participation__asia_london_short_v2,GC,MGC,IBKR_ROUTED,PROBATION_ACTIVE,NO_ACTION,True,,0.00,0.00,,,,ready but waiting for signal
mes_1x_ny_early_core__us_early_long,MES,MES,IBKR_ROUTED,DEGRADED,NO_ACTION,True,,0.00,-31.25,2026-04-27T08:26:00-04:00,2026-04-27T08:27:00-04:00,,ready but waiting for signal
mes_1x_ny_early_core__us_early_short_breakdown,MES,MES,IBKR_ROUTED,PROMISING,NO_ACTION,True,,0.00,25.00,2026-04-27T08:24:00-04:00,2026-04-27T08:31:00-04:00,,ready but waiting for signal
mes_1x_ny_early_core__us_early_short_reclaim_fail,MES,MES,IBKR_ROUTED,PROMISING,NO_ACTION,True,,0.00,25.00,2026-04-27T08:24:00-04:00,2026-04-27T08:31:00-04:00,,ready but waiting for signal
mes_1x_ny_early_core__us_late_long,MES,MES,IBKR_ROUTED,PROMISING,NO_ACTION,True,,0.00,235.00,2026-04-28T13:35:00-04:00,2026-04-28T13:49:00-04:00,,ready but waiting for signal
mes_1x_ny_early_core__us_late_short_reclaim_fail,MES,MES,IBKR_ROUTED,DEGRADED,NO_ACTION,True,,0.00,-111.25,2026-04-28T13:35:00-04:00,2026-04-28T13:36:00-04:00,,ready but waiting for signal
mes_1x_ny_early_core__us_midday_long,MES,MES,IBKR_ROUTED,PROBATION_ACTIVE,NO_ACTION,True,,0.00,0.00,2026-04-28T11:06:00-04:00,2026-04-28T11:07:00-04:00,,ready but waiting for signal
mes_1x_ny_early_core__us_midday_short_breakdown,MES,MES,IBKR_ROUTED,DEGRADED,NO_ACTION,True,,0.00,-32.50,2026-04-28T11:05:00-04:00,2026-04-28T11:12:00-04:00,,ready but waiting for signal
atp_companion_v1_asia_us,MGC,MGC,IBKR_ROUTED,DEGRADED,,False,,-444.00,0.00,,,,ready but waiting for signal
mgc_1x_asia_london_participation__asia_london_long_v5,MGC,MGC,IBKR_ROUTED,PROBATION_ACTIVE,NO_ACTION,True,,0.00,0.00,,,,ready but waiting for signal
mgc_1x_asia_london_participation__asia_london_short_v2,MGC,MGC,IBKR_ROUTED,PROBATION_ACTIVE,NO_ACTION,True,,0.00,0.00,,,,ready but waiting for signal
mnq_1x_asia_london_participation__asia_london_long_v5,MNQ,MNQ,IBKR_ROUTED,PROBATION_ACTIVE,NO_ACTION,True,,0.00,0.00,,,,ready but waiting for signal
mnq_1x_asia_london_participation__asia_london_long_v6,MNQ,MNQ,IBKR_ROUTED,PROBATION_ACTIVE,NO_ACTION,True,,0.00,0.00,,,,ready but waiting for signal
mnq_1x_asia_london_participation__asia_london_short_v2,MNQ,MNQ,IBKR_ROUTED,PROBATION_ACTIVE,NO_ACTION,True,,0.00,0.00,,,,ready but waiting for signal
