lane_id,source_instrument,routing_mode,governance_status,live_money_readiness_class,broker_path_pnl,internal_only_pnl,total_net_pnl,average_trade,win_rate,max_drawdown,reconciliation_error_count,order_rejection_count,notes
es_1x_asia_london_participation__asia_london_long_v6_vol_floor_125,ES,IBKR_ROUTED,PROBATION_ACTIVE,WATCHLIST,0.00,0.00,0.00,,,0.00,0,0,
es_1x_ny_early_core__us_early_long,ES,IBKR_ROUTED,DEGRADED,NOT_READY,0.00,-462.50,-462.50,-92.50,0.00,462.50,0,0,
es_1x_ny_early_core__us_early_short_breakdown,ES,IBKR_ROUTED,PROMISING,WATCHLIST,0.00,375.00,375.00,93.75,75.00,87.50,0,0,
es_1x_ny_early_core__us_early_short_reclaim_fail,ES,IBKR_ROUTED,PROMISING,WATCHLIST,0.00,287.50,287.50,71.88,50.00,100.00,0,0,
es_1x_ny_early_core__us_late_long,ES,IBKR_ROUTED,DEGRADED,NOT_READY,0.00,-62.50,-62.50,-12.50,40.00,237.50,0,0,
es_1x_ny_early_core__us_late_short_reclaim_fail,ES,IBKR_ROUTED,DEGRADED,NOT_READY,0.00,-787.50,-787.50,-131.25,50.00,887.50,0,0,
es_1x_ny_early_core__us_midday_long,ES,IBKR_ROUTED,DEGRADED,NOT_READY,0.00,-12.50,-12.50,-2.50,40.00,125.00,0,0,
es_1x_ny_early_core__us_midday_short_breakdown,ES,IBKR_ROUTED,DEGRADED,NOT_READY,0.00,-275.00,-275.00,-55.00,20.00,312.50,0,0,
gc_1x_all_lanes__asia_early_long,GC,IBKR_ROUTED,PROMISING,PAPER_PROBATION,0.00,920.00,920.00,153.33,33.33,350.00,0,0,top_paper_probation_candidate
gc_1x_all_lanes__asia_early_short,GC,IBKR_ROUTED,DEGRADED,NOT_READY,0.00,-240.00,-240.00,-30.00,25.00,460.00,0,0,
gc_1x_all_lanes__london_early_long,GC,IBKR_ROUTED,KILL_CANDIDATE,DIAGNOSTIC_ONLY,0.00,-1760.00,-1760.00,-176.00,10.00,1760.00,0,0,
gc_1x_all_lanes__us_early_short,GC,IBKR_ROUTED,PROMISING,PAPER_PROBATION,0.00,510.00,510.00,127.50,50.00,210.00,0,0,top_paper_probation_candidate
gc_1x_all_lanes__us_midday_short,GC,IBKR_ROUTED,PROMISING,PAPER_PROBATION,0.00,260.00,260.00,52.00,40.00,730.00,0,0,top_paper_probation_candidate
gc_1x_asia_london_participation__asia_london_long_v5,GC,IBKR_ROUTED,DEGRADED,NOT_READY,0.00,-40.00,-40.00,-40.00,0.00,40.00,0,0,
gc_1x_asia_london_participation__asia_london_short_v2,GC,IBKR_ROUTED,PROBATION_ACTIVE,WATCHLIST,0.00,0.00,0.00,,,0.00,0,0,
mes_1x_ny_early_core__us_early_long,MES,IBKR_ROUTED,DEGRADED,NOT_READY,0.00,-31.25,-31.25,-6.25,20.00,32.50,0,0,
mes_1x_ny_early_core__us_early_short_breakdown,MES,IBKR_ROUTED,PROMISING,WATCHLIST,0.00,25.00,25.00,6.25,75.00,21.25,0,0,
