lane_id,source_instrument,governance_status,routing_mode,review_reasons,broker_path_pnl,internal_only_pnl,last_signal_time,last_local_trade_time
es_1x_ny_early_core__us_early_long,ES,DEGRADED,IBKR_ROUTED,DEGRADED,0.00,-462.50,2026-04-27T08:26:00-04:00,2026-04-27T08:27:00-04:00
es_1x_ny_early_core__us_late_long,ES,DEGRADED,IBKR_ROUTED,DEGRADED,0.00,-62.50,2026-04-28T13:35:00-04:00,2026-04-28T14:03:00-04:00
es_1x_ny_early_core__us_late_short_reclaim_fail,ES,DEGRADED,IBKR_ROUTED,DEGRADED,0.00,-787.50,2026-04-28T13:35:00-04:00,2026-04-28T13:36:00-04:00
es_1x_ny_early_core__us_midday_long,ES,DEGRADED,IBKR_ROUTED,DEGRADED,0.00,-12.50,2026-04-28T11:06:00-04:00,2026-04-28T11:07:00-04:00
es_1x_ny_early_core__us_midday_short_breakdown,ES,DEGRADED,IBKR_ROUTED,DEGRADED,0.00,-275.00,2026-04-28T11:05:00-04:00,2026-04-28T11:12:00-04:00
gc_1x_all_lanes__asia_early_short,GC,DEGRADED,IBKR_ROUTED,DEGRADED,0.00,-240.00,2026-04-28T19:05:00-04:00,2026-04-28T19:14:00-04:00
gc_1x_all_lanes__london_early_long,GC,KILL_CANDIDATE,IBKR_ROUTED,KILL_CANDIDATE,0.00,-1760.00,2026-04-29T03:04:00-04:00,2026-04-29T03:08:00-04:00
gc_1x_asia_london_participation__asia_london_long_v5,GC,DEGRADED,IBKR_ROUTED,DEGRADED,0.00,-40.00,2026-04-27T19:08:00-04:00,2026-04-27T19:09:00-04:00
mes_1x_ny_early_core__us_early_long,MES,DEGRADED,IBKR_ROUTED,DEGRADED,0.00,-31.25,2026-04-27T08:26:00-04:00,2026-04-27T08:27:00-04:00
mes_1x_ny_early_core__us_late_short_reclaim_fail,MES,DEGRADED,IBKR_ROUTED,DEGRADED,0.00,-111.25,2026-04-28T13:35:00-04:00,2026-04-28T13:36:00-04:00
mes_1x_ny_early_core__us_midday_short_breakdown,MES,DEGRADED,IBKR_ROUTED,DEGRADED,0.00,-32.50,2026-04-28T11:05:00-04:00,2026-04-28T11:12:00-04:00
atp_companion_v1_asia_us,MGC,DEGRADED,IBKR_ROUTED,"DEGRADED,negative_broker_path_pnl",-444.00,0.00,,
mnq_1x_ny_early_core__us_early_long,MNQ,DEGRADED,IBKR_ROUTED,DEGRADED,0.00,-56.50,2026-04-27T08:26:00-04:00,2026-04-27T08:27:00-04:00
mnq_1x_ny_early_core__us_late_long,MNQ,DEGRADED,IBKR_ROUTED,DEGRADED,0.00,-98.00,2026-04-28T13:34:00-04:00,2026-04-28T13:49:00-04:00
mnq_1x_ny_early_core__us_midday_short_breakdown,MNQ,DEGRADED,IBKR_ROUTED,DEGRADED,0.00,-119.00,2026-04-28T11:05:00-04:00,2026-04-28T11:12:00-04:00
nq_1x_ny_early_core__us_early_long,NQ,DEGRADED,IBKR_ROUTED,DEGRADED,0.00,-680.00,2026-04-27T08:26:00-04:00,2026-04-27T08:27:00-04:00
nq_1x_ny_early_core__us_late_short_reclaim_fail,NQ,KILL_CANDIDATE,IBKR_ROUTED,KILL_CANDIDATE,0.00,-1050.00,2026-04-28T13:35:00-04:00,2026-04-28T13:36:00-04:00
nq_1x_ny_early_core__us_midday_short_breakdown,NQ,KILL_CANDIDATE,IBKR_ROUTED,KILL_CANDIDATE,0.00,-1200.00,2026-04-28T11:05:00-04:00,2026-04-28T11:12:00-04:00
