lane_id,source_instrument,governance_status,current_runtime_status,local_paper_trading_enabled,ibkr_bridge_submit_capable,current_routing_mode,recent_local_trades_occurred,recent_trade_route_kind,current_order_destination,local_trading_allowed,submit_allowed,submit_block_reasons,broker_path_pnl,internal_sim_pnl,diagnostic_only_pnl
es_1x_asia_london_participation__asia_london_long_v6_vol_floor_125,ES,WATCHLIST,READY,True,False,INTERNAL_ONLY_DIAGNOSTIC,False,NONE,legacy_app_paper_runtime,True,False,unsupported_instrument_scope,0.00,0.00,0.00
es_1x_ny_early_core__us_early_long,ES,WATCHLIST,READY,True,False,INTERNAL_ONLY_DIAGNOSTIC,True,INTERNAL_ONLY,legacy_app_paper_runtime,True,False,unsupported_instrument_scope,0.00,0.00,-462.50
es_1x_ny_early_core__us_early_short_breakdown,ES,WATCHLIST,READY,True,False,INTERNAL_ONLY_DIAGNOSTIC,True,INTERNAL_ONLY,legacy_app_paper_runtime,True,False,unsupported_instrument_scope,0.00,0.00,375.00
es_1x_ny_early_core__us_early_short_reclaim_fail,ES,WATCHLIST,READY,True,False,INTERNAL_ONLY_DIAGNOSTIC,True,INTERNAL_ONLY,legacy_app_paper_runtime,True,False,unsupported_instrument_scope,0.00,0.00,287.50
es_1x_ny_early_core__us_late_long,ES,WATCHLIST,READY,True,False,INTERNAL_ONLY_DIAGNOSTIC,True,INTERNAL_ONLY,legacy_app_paper_runtime,True,False,unsupported_instrument_scope,0.00,0.00,-62.50
es_1x_ny_early_core__us_late_short_reclaim_fail,ES,WATCHLIST,READY,True,False,INTERNAL_ONLY_DIAGNOSTIC,True,INTERNAL_ONLY,legacy_app_paper_runtime,True,False,unsupported_instrument_scope,0.00,0.00,-787.50
es_1x_ny_early_core__us_midday_long,ES,WATCHLIST,READY,True,False,INTERNAL_ONLY_DIAGNOSTIC,True,INTERNAL_ONLY,legacy_app_paper_runtime,True,False,unsupported_instrument_scope,0.00,0.00,-12.50
es_1x_ny_early_core__us_midday_short_breakdown,ES,WATCHLIST,READY,True,False,INTERNAL_ONLY_DIAGNOSTIC,True,INTERNAL_ONLY,legacy_app_paper_runtime,True,False,unsupported_instrument_scope,0.00,0.00,-275.00
gc_1x_all_lanes__asia_early_long,GC,PROMISING,READY,False,True,IBKR_ROUTED,True,INTERNAL_ONLY,ibkr_paper_bridge_submit_capable,False,True,,0.00,920.00,0.00
gc_1x_all_lanes__asia_early_short,GC,DEGRADED,READY,False,True,IBKR_ROUTED,True,INTERNAL_ONLY,ibkr_paper_bridge_submit_capable,False,True,,0.00,-240.00,0.00
gc_1x_all_lanes__london_early_long,GC,KILL_CANDIDATE,READY,False,True,IBKR_ROUTED,True,INTERNAL_ONLY,ibkr_paper_bridge_submit_capable,False,True,,0.00,-1760.00,0.00
gc_1x_all_lanes__us_early_short,GC,PROMISING,READY,False,True,IBKR_ROUTED,True,INTERNAL_ONLY,ibkr_paper_bridge_submit_capable,False,True,,0.00,510.00,0.00
