lane_id,strategy_id,source_instrument,runtime_status,governance_status,routing_mode,local_paper_trading_enabled,recent_local_trades_count,recent_local_open_timestamp,recent_local_close_timestamp,current_app_internal_position,current_broker_attributed_position,recent_trade_path,ibkr_submit_capable,eligible_for_ibkr_paper_routing,exact_blocker,intent_action,submit_block_reasons,realized_pnl,unrealized_pnl,total_net_pnl,average_trade,win_rate,profit_factor,max_drawdown,max_consecutive_losers,rejection_count,reconciliation_error_count,open_order_ambiguity_count
es_1x_asia_london_participation__asia_london_long_v6_vol_floor_125,asia_london_participation_core_v1__ES,ES,READY,WATCHLIST,LEGACY_LOCAL_PAPER,True,0,,,FLAT 0.0,FLAT 0.0,NONE,False,False,unsupported_instrument_scope,NO_ACTION,unsupported_instrument_scope,0.00,0.00,0.00,,,,0.00,,0,0,0
es_1x_ny_early_core__us_early_long,index_futures_ny_intraday_forced_core_v2__ES,ES,READY,WATCHLIST,LEGACY_LOCAL_PAPER,True,5,2026-04-27T12:30:31.008777+00:00,2026-04-27T12:30:31.097584+00:00,FLAT 0.0,FLAT 0.0,INTERNAL_ONLY,False,False,unsupported_instrument_scope,NO_ACTION,unsupported_instrument_scope,-462.50,0.00,-462.50,-92.50,0.00,0.00,462.50,4,0,0,0
es_1x_ny_early_core__us_early_short_breakdown,index_futures_ny_intraday_forced_core_v2__ES,ES,READY,WATCHLIST,LEGACY_LOCAL_PAPER,True,4,2026-04-27T12:31:14.325753+00:00,2026-04-27T12:35:17.729425+00:00,FLAT 0.0,FLAT 0.0,INTERNAL_ONLY,False,False,unsupported_instrument_scope,NO_ACTION,unsupported_instrument_scope,375.00,0.00,375.00,93.75,75.00,5.29,87.50,1,0,0,0
es_1x_ny_early_core__us_early_short_reclaim_fail,index_futures_ny_intraday_forced_core_v2__ES,ES,READY,WATCHLIST,LEGACY_LOCAL_PAPER,True,4,2026-04-27T12:31:19.890854+00:00,2026-04-27T12:52:10.318444+00:00,FLAT 0.0,FLAT 0.0,INTERNAL_ONLY,False,False,unsupported_instrument_scope,NO_ACTION,unsupported_instrument_scope,287.50,0.00,287.50,71.88,50.00,3.88,100.00,1,0,0,0
es_1x_ny_early_core__us_late_long,index_futures_ny_intraday_forced_core_v2__ES,ES,READY,WATCHLIST,LEGACY_LOCAL_PAPER,True,5,2026-04-28T17:40:30.097062+00:00,2026-04-28T18:05:31.847226+00:00,FLAT 0.0,FLAT 0.0,INTERNAL_ONLY,False,False,unsupported_instrument_scope,NO_ACTION,unsupported_instrument_scope,-62.50,0.00,-62.50,-12.50,40.00,0.83,237.50,2,0,0,0
es_1x_ny_early_core__us_late_short_reclaim_fail,index_futures_ny_intraday_forced_core_v2__ES,ES,READY,WATCHLIST,LEGACY_LOCAL_PAPER,True,6,2026-04-28T17:40:31.121824+00:00,2026-04-28T17:40:31.165786+00:00,FLAT 0.0,FLAT 0.0,INTERNAL_ONLY,False,False,unsupported_instrument_scope,NO_ACTION,unsupported_instrument_scope,-787.50,0.00,-787.50,-131.25,50.00,0.11,887.50,2,0,0,0
es_1x_ny_early_core__us_midday_long,index_futures_ny_intraday_forced_core_v2__ES,ES,READY,WATCHLIST,LEGACY_LOCAL_PAPER,True,5,2026-04-28T15:36:14.535221+00:00,2026-04-28T15:36:14.566678+00:00,FLAT 0.0,FLAT 0.0,INTERNAL_ONLY,False,False,unsupported_instrument_scope,NO_ACTION,unsupported_instrument_scope,-12.50,0.00,-12.50,-2.50,40.00,0.92,125.00,2,0,0,0
es_1x_ny_early_core__us_midday_short_breakdown,index_futures_ny_intraday_forced_core_v2__ES,ES,READY,WATCHLIST,LEGACY_LOCAL_PAPER,True,5,2026-04-28T15:37:11.645676+00:00,2026-04-28T15:37:11.938628+00:00,FLAT 0.0,FLAT 0.0,INTERNAL_ONLY,False,False,unsupported_instrument_scope,NO_ACTION,unsupported_instrument_scope,-275.00,0.00,-275.00,-55.00,20.00,0.19,312.50,3,0,0,0
gc_1x_all_lanes__asia_early_long,gold_forced_session_baseline_v2__GC,GC,READY,PROMISING,IBKR_SUBMIT_CAPABLE_NO_ACTION,False,6,2026-04-28T23:07:15.407590+00:00,2026-04-28T23:11:30.927937+00:00,FLAT 0.0,FLAT 0.0,INTERNAL_ONLY,True,True,,NO_ACTION,,920.00,0.00,920.00,153.33,33.33,3.42,350.00,3,0,0,0
gc_1x_all_lanes__asia_early_short,gold_forced_session_baseline_v2__GC,GC,READY,DEGRADED,IBKR_SUBMIT_CAPABLE_NO_ACTION,False,8,2026-04-28T23:07:21.302835+00:00,2026-04-28T23:15:31.534345+00:00,FLAT 0.0,FLAT 0.0,INTERNAL_ONLY,True,True,,NO_ACTION,,-240.00,0.00,-240.00,-30.00,25.00,0.66,460.00,4,0,0,0
gc_1x_all_lanes__london_early_long,gold_forced_session_baseline_v2__GC,GC,READY,KILL_CANDIDATE,IBKR_SUBMIT_CAPABLE_NO_ACTION,False,10,2026-04-29T07:07:01.653410+00:00,2026-04-29T07:10:16.870258+00:00,FLAT 0.0,FLAT 0.0,INTERNAL_ONLY,True,True,,NO_ACTION,,-1760.00,0.00,-1760.00,-176.00,10.00,0.27,1760.00,3,0,0,0
gc_1x_all_lanes__us_early_short,gold_forced_session_baseline_v2__GC,GC,READY,PROMISING,IBKR_SUBMIT_CAPABLE_NO_ACTION,False,4,2026-04-27T12:27:18.851619+00:00,2026-04-27T12:51:10.778439+00:00,FLAT 0.0,FLAT 0.0,INTERNAL_ONLY,True,True,,NO_ACTION,,510.00,0.00,510.00,127.50,50.00,3.43,210.00,2,0,0,0
gc_1x_all_lanes__us_midday_short,gold_forced_session_baseline_v2__GC,GC,READY,PROMISING,IBKR_SUBMIT_CAPABLE_NO_ACTION,False,5,2026-04-28T15:32:44.641803+00:00,2026-04-28T15:32:45.050239+00:00,FLAT 0.0,FLAT 0.0,INTERNAL_ONLY,True,True,,NO_ACTION,,260.00,0.00,260.00,52.00,40.00,1.36,730.00,2,0,0,0
gc_1x_asia_london_participation__asia_london_long_v5,asia_london_participation_core_v1__GC,GC,READY,DEGRADED,IBKR_SUBMIT_CAPABLE_NO_ACTION,False,1,2026-04-28T22:02:32.687880+00:00,2026-04-28T22:02:32.718189+00:00,FLAT 0.0,FLAT 0.0,INTERNAL_ONLY,True,True,,NO_ACTION,,-40.00,0.00,-40.00,-40.00,0.00,0.00,40.00,1,0,0,0
gc_1x_asia_london_participation__asia_london_short_v2,asia_london_participation_core_v1__GC,GC,READY,PROBATION_ACTIVE,IBKR_SUBMIT_CAPABLE_NO_ACTION,False,0,,,FLAT 0.0,FLAT 0.0,NONE,True,True,,NO_ACTION,,0.00,0.00,0.00,,,,0.00,,0,0,0
mes_1x_ny_early_core__us_early_long,index_futures_ny_intraday_forced_core_v2__MES,MES,READY,WATCHLIST,LEGACY_LOCAL_PAPER,True,5,2026-04-27T12:32:20.444300+00:00,2026-04-27T12:32:20.488804+00:00,FLAT 0.0,FLAT 0.0,INTERNAL_ONLY,False,False,unsupported_instrument_scope,NO_ACTION,unsupported_instrument_scope,-31.25,0.00,-31.25,-6.25,20.00,0.04,32.50,4,0,0,0
mes_1x_ny_early_core__us_early_short_breakdown,index_futures_ny_intraday_forced_core_v2__MES,MES,READY,WATCHLIST,LEGACY_LOCAL_PAPER,True,4,2026-04-27T12:32:26.083525+00:00,2026-04-27T12:32:26.610828+00:00,FLAT 0.0,FLAT 0.0,INTERNAL_ONLY,False,False,unsupported_instrument_scope,NO_ACTION,unsupported_instrument_scope,25.00,0.00,25.00,6.25,75.00,2.18,21.25,1,0,0,0
mes_1x_ny_early_core__us_early_short_reclaim_fail,index_futures_ny_intraday_forced_core_v2__MES,MES,READY,WATCHLIST,LEGACY_LOCAL_PAPER,True,4,2026-04-27T12:32:31.942299+00:00,2026-04-27T12:32:33.020374+00:00,FLAT 0.0,FLAT 0.0,INTERNAL_ONLY,False,False,unsupported_instrument_scope,NO_ACTION,unsupported_instrument_scope,25.00,0.00,25.00,6.25,75.00,2.18,21.25,1,0,0,0
mes_1x_ny_early_core__us_late_long,index_futures_ny_intraday_forced_core_v2__MES,MES,READY,WATCHLIST,LEGACY_LOCAL_PAPER,True,7,2026-04-28T17:37:56.333932+00:00,2026-04-28T17:50:47.686116+00:00,FLAT 0.0,FLAT 0.0,INTERNAL_ONLY,False,False,unsupported_instrument_scope,NO_ACTION,unsupported_instrument_scope,235.00,0.00,235.00,33.57,57.14,6.88,21.25,2,0,0,0
