lane_id,source_instrument,routing_mode,governance_status,ibkr_submit_capable,eligible_for_ibkr_paper_routing,current_intent_action,next_action,exact_blocker
es_1x_asia_london_participation__asia_london_long_v6_vol_floor_125,ES,LEGACY_LOCAL_PAPER,WATCHLIST,False,False,NO_ACTION,expand_instrument_scope_before_porting,unsupported_instrument_scope
es_1x_ny_early_core__us_early_long,ES,LEGACY_LOCAL_PAPER,WATCHLIST,False,False,NO_ACTION,expand_instrument_scope_before_porting,unsupported_instrument_scope
es_1x_ny_early_core__us_early_short_breakdown,ES,LEGACY_LOCAL_PAPER,WATCHLIST,False,False,NO_ACTION,expand_instrument_scope_before_porting,unsupported_instrument_scope
es_1x_ny_early_core__us_early_short_reclaim_fail,ES,LEGACY_LOCAL_PAPER,WATCHLIST,False,False,NO_ACTION,expand_instrument_scope_before_porting,unsupported_instrument_scope
es_1x_ny_early_core__us_late_long,ES,LEGACY_LOCAL_PAPER,WATCHLIST,False,False,NO_ACTION,expand_instrument_scope_before_porting,unsupported_instrument_scope
es_1x_ny_early_core__us_late_short_reclaim_fail,ES,LEGACY_LOCAL_PAPER,WATCHLIST,False,False,NO_ACTION,expand_instrument_scope_before_porting,unsupported_instrument_scope
es_1x_ny_early_core__us_midday_long,ES,LEGACY_LOCAL_PAPER,WATCHLIST,False,False,NO_ACTION,expand_instrument_scope_before_porting,unsupported_instrument_scope
es_1x_ny_early_core__us_midday_short_breakdown,ES,LEGACY_LOCAL_PAPER,WATCHLIST,False,False,NO_ACTION,expand_instrument_scope_before_porting,unsupported_instrument_scope
gc_1x_all_lanes__asia_early_long,GC,IBKR_SUBMIT_CAPABLE_NO_ACTION,PROMISING,True,True,NO_ACTION,wait_for_actionable_signal,
gc_1x_all_lanes__asia_early_short,GC,IBKR_SUBMIT_CAPABLE_NO_ACTION,DEGRADED,True,True,NO_ACTION,wait_for_actionable_signal,
gc_1x_all_lanes__london_early_long,GC,IBKR_SUBMIT_CAPABLE_NO_ACTION,KILL_CANDIDATE,True,True,NO_ACTION,wait_for_actionable_signal,
gc_1x_all_lanes__us_early_short,GC,IBKR_SUBMIT_CAPABLE_NO_ACTION,PROMISING,True,True,NO_ACTION,wait_for_actionable_signal,
gc_1x_all_lanes__us_midday_short,GC,IBKR_SUBMIT_CAPABLE_NO_ACTION,PROMISING,True,True,NO_ACTION,wait_for_actionable_signal,
gc_1x_asia_london_participation__asia_london_long_v5,GC,IBKR_SUBMIT_CAPABLE_NO_ACTION,DEGRADED,True,True,NO_ACTION,wait_for_actionable_signal,
gc_1x_asia_london_participation__asia_london_short_v2,GC,IBKR_SUBMIT_CAPABLE_NO_ACTION,PROBATION_ACTIVE,True,True,NO_ACTION,wait_for_actionable_signal,
mes_1x_ny_early_core__us_early_long,MES,LEGACY_LOCAL_PAPER,WATCHLIST,False,False,NO_ACTION,expand_instrument_scope_before_porting,unsupported_instrument_scope
mes_1x_ny_early_core__us_early_short_breakdown,MES,LEGACY_LOCAL_PAPER,WATCHLIST,False,False,NO_ACTION,expand_instrument_scope_before_porting,unsupported_instrument_scope
mes_1x_ny_early_core__us_early_short_reclaim_fail,MES,LEGACY_LOCAL_PAPER,WATCHLIST,False,False,NO_ACTION,expand_instrument_scope_before_porting,unsupported_instrument_scope
mes_1x_ny_early_core__us_late_long,MES,LEGACY_LOCAL_PAPER,WATCHLIST,False,False,NO_ACTION,expand_instrument_scope_before_porting,unsupported_instrument_scope
mes_1x_ny_early_core__us_late_short_reclaim_fail,MES,LEGACY_LOCAL_PAPER,WATCHLIST,False,False,NO_ACTION,expand_instrument_scope_before_porting,unsupported_instrument_scope
mes_1x_ny_early_core__us_midday_long,MES,LEGACY_LOCAL_PAPER,WATCHLIST,False,False,NO_ACTION,expand_instrument_scope_before_porting,unsupported_instrument_scope
mes_1x_ny_early_core__us_midday_short_breakdown,MES,LEGACY_LOCAL_PAPER,WATCHLIST,False,False,NO_ACTION,expand_instrument_scope_before_porting,unsupported_instrument_scope
atp_companion_v1_asia_us,MGC,IBKR_SUBMIT_CAPABLE_NO_ACTION,DEGRADED,False,False,,wait_for_actionable_signal,missing_bridge_adapter
mgc_1x_asia_london_participation__asia_london_long_v5,MGC,IBKR_SUBMIT_CAPABLE_NO_ACTION,PROBATION_ACTIVE,True,True,NO_ACTION,wait_for_actionable_signal,
mgc_1x_asia_london_participation__asia_london_short_v2,MGC,IBKR_SUBMIT_CAPABLE_NO_ACTION,PROBATION_ACTIVE,True,True,NO_ACTION,wait_for_actionable_signal,
mnq_1x_asia_london_participation__asia_london_long_v5,MNQ,LEGACY_LOCAL_PAPER,WATCHLIST,False,False,NO_ACTION,expand_instrument_scope_before_porting,unsupported_instrument_scope
mnq_1x_asia_london_participation__asia_london_long_v6,MNQ,LEGACY_LOCAL_PAPER,WATCHLIST,False,False,NO_ACTION,expand_instrument_scope_before_porting,unsupported_instrument_scope
mnq_1x_asia_london_participation__asia_london_short_v2,MNQ,LEGACY_LOCAL_PAPER,WATCHLIST,False,False,NO_ACTION,expand_instrument_scope_before_porting,unsupported_instrument_scope
mnq_1x_ny_early_core__us_early_long,MNQ,LEGACY_LOCAL_PAPER,WATCHLIST,False,False,NO_ACTION,expand_instrument_scope_before_porting,unsupported_instrument_scope
mnq_1x_ny_early_core__us_early_short_breakdown,MNQ,LEGACY_LOCAL_PAPER,WATCHLIST,False,False,NO_ACTION,expand_instrument_scope_before_porting,unsupported_instrument_scope
mnq_1x_ny_early_core__us_early_short_reclaim_fail,MNQ,LEGACY_LOCAL_PAPER,WATCHLIST,False,False,NO_ACTION,expand_instrument_scope_before_porting,unsupported_instrument_scope
mnq_1x_ny_early_core__us_late_long,MNQ,LEGACY_LOCAL_PAPER,WATCHLIST,False,False,NO_ACTION,expand_instrument_scope_before_porting,unsupported_instrument_scope
