lane_id,source_instrument,routing_mode,governance_status,recent_local_trades_count,recent_local_open_timestamp,recent_local_close_timestamp,eligible_for_ibkr_paper_routing,exact_blocker
es_1x_ny_early_core__us_early_long,ES,LEGACY_LOCAL_PAPER,WATCHLIST,5,2026-04-27T12:30:31.008777+00:00,2026-04-27T12:30:31.097584+00:00,False,unsupported_instrument_scope
es_1x_ny_early_core__us_early_short_breakdown,ES,LEGACY_LOCAL_PAPER,WATCHLIST,4,2026-04-27T12:31:14.325753+00:00,2026-04-27T12:35:17.729425+00:00,False,unsupported_instrument_scope
es_1x_ny_early_core__us_early_short_reclaim_fail,ES,LEGACY_LOCAL_PAPER,WATCHLIST,4,2026-04-27T12:31:19.890854+00:00,2026-04-27T12:52:10.318444+00:00,False,unsupported_instrument_scope
es_1x_ny_early_core__us_late_long,ES,LEGACY_LOCAL_PAPER,WATCHLIST,5,2026-04-28T17:40:30.097062+00:00,2026-04-28T18:05:31.847226+00:00,False,unsupported_instrument_scope
es_1x_ny_early_core__us_late_short_reclaim_fail,ES,LEGACY_LOCAL_PAPER,WATCHLIST,6,2026-04-28T17:40:31.121824+00:00,2026-04-28T17:40:31.165786+00:00,False,unsupported_instrument_scope
es_1x_ny_early_core__us_midday_long,ES,LEGACY_LOCAL_PAPER,WATCHLIST,5,2026-04-28T15:36:14.535221+00:00,2026-04-28T15:36:14.566678+00:00,False,unsupported_instrument_scope
es_1x_ny_early_core__us_midday_short_breakdown,ES,LEGACY_LOCAL_PAPER,WATCHLIST,5,2026-04-28T15:37:11.645676+00:00,2026-04-28T15:37:11.938628+00:00,False,unsupported_instrument_scope
mes_1x_ny_early_core__us_early_long,MES,LEGACY_LOCAL_PAPER,WATCHLIST,5,2026-04-27T12:32:20.444300+00:00,2026-04-27T12:32:20.488804+00:00,False,unsupported_instrument_scope
mes_1x_ny_early_core__us_early_short_breakdown,MES,LEGACY_LOCAL_PAPER,WATCHLIST,4,2026-04-27T12:32:26.083525+00:00,2026-04-27T12:32:26.610828+00:00,False,unsupported_instrument_scope
mes_1x_ny_early_core__us_early_short_reclaim_fail,MES,LEGACY_LOCAL_PAPER,WATCHLIST,4,2026-04-27T12:32:31.942299+00:00,2026-04-27T12:32:33.020374+00:00,False,unsupported_instrument_scope
mes_1x_ny_early_core__us_late_long,MES,LEGACY_LOCAL_PAPER,WATCHLIST,7,2026-04-28T17:37:56.333932+00:00,2026-04-28T17:50:47.686116+00:00,False,unsupported_instrument_scope
mes_1x_ny_early_core__us_late_short_reclaim_fail,MES,LEGACY_LOCAL_PAPER,WATCHLIST,8,2026-04-28T17:38:48.011226+00:00,2026-04-28T17:38:48.048901+00:00,False,unsupported_instrument_scope
mes_1x_ny_early_core__us_midday_long,MES,LEGACY_LOCAL_PAPER,WATCHLIST,5,2026-04-28T15:41:23.977765+00:00,2026-04-28T15:41:24.031592+00:00,False,unsupported_instrument_scope
mes_1x_ny_early_core__us_midday_short_breakdown,MES,LEGACY_LOCAL_PAPER,WATCHLIST,5,2026-04-28T15:42:20.437977+00:00,2026-04-28T15:42:21.525410+00:00,False,unsupported_instrument_scope
mnq_1x_ny_early_core__us_early_long,MNQ,LEGACY_LOCAL_PAPER,WATCHLIST,5,2026-04-27T12:31:42.911642+00:00,2026-04-27T12:31:42.948031+00:00,False,unsupported_instrument_scope
mnq_1x_ny_early_core__us_early_short_breakdown,MNQ,LEGACY_LOCAL_PAPER,WATCHLIST,4,2026-04-27T12:31:48.996770+00:00,2026-04-27T12:31:49.608957+00:00,False,unsupported_instrument_scope
mnq_1x_ny_early_core__us_early_short_reclaim_fail,MNQ,LEGACY_LOCAL_PAPER,WATCHLIST,4,2026-04-27T12:31:55.582303+00:00,2026-04-27T12:31:56.254912+00:00,False,unsupported_instrument_scope
mnq_1x_ny_early_core__us_late_long,MNQ,LEGACY_LOCAL_PAPER,WATCHLIST,6,2026-04-28T17:35:49.914564+00:00,2026-04-28T17:50:15.274906+00:00,False,unsupported_instrument_scope
mnq_1x_ny_early_core__us_late_short_reclaim_fail,MNQ,LEGACY_LOCAL_PAPER,WATCHLIST,6,2026-04-28T17:40:32.871227+00:00,2026-04-28T17:40:33.056626+00:00,False,unsupported_instrument_scope
mnq_1x_ny_early_core__us_midday_long,MNQ,LEGACY_LOCAL_PAPER,WATCHLIST,5,2026-04-28T15:38:47.490785+00:00,2026-04-28T15:38:47.525439+00:00,False,unsupported_instrument_scope
mnq_1x_ny_early_core__us_midday_short_breakdown,MNQ,LEGACY_LOCAL_PAPER,WATCHLIST,5,2026-04-28T15:39:30.774535+00:00,2026-04-28T15:39:31.461800+00:00,False,unsupported_instrument_scope
nq_1x_asia_london_participation__asia_london_short_v2,NQ,LEGACY_LOCAL_PAPER,WATCHLIST,1,2026-04-28T22:10:20.041057+00:00,2026-04-28T23:06:12.130698+00:00,False,unsupported_instrument_scope
nq_1x_ny_early_core__us_early_long,NQ,LEGACY_LOCAL_PAPER,WATCHLIST,5,2026-04-27T12:28:03.680694+00:00,2026-04-27T12:34:47.938650+00:00,False,unsupported_instrument_scope
nq_1x_ny_early_core__us_early_short_breakdown,NQ,LEGACY_LOCAL_PAPER,WATCHLIST,4,2026-04-27T12:28:46.557879+00:00,2026-04-27T12:34:54.238126+00:00,False,unsupported_instrument_scope
nq_1x_ny_early_core__us_early_short_reclaim_fail,NQ,LEGACY_LOCAL_PAPER,WATCHLIST,4,2026-04-27T12:29:29.807022+00:00,2026-04-27T12:35:00.470917+00:00,False,unsupported_instrument_scope
