lane_id,source_instrument,routing_mode,governance_status,trades_today,trades_last_3_sessions,trades_last_5_sessions,trades_last_10_sessions,realized_pnl,unrealized_pnl,total_net_pnl,average_trade,win_rate,profit_factor,max_drawdown,max_consecutive_losers,trade_frequency_last_10_sessions,cost_slippage_drag,order_rejection_count,reconciliation_error_count,open_order_ambiguity_count,execution_cleanliness,reconciliation_cleanliness,overlap_redundancy,operational_risk,readiness_class
es_1x_asia_london_participation__asia_london_long_v6_vol_floor_125,ES,LEGACY_LOCAL_PAPER,WATCHLIST,0,0,0,0,0.00,0.00,0.00,,,,0.00,,0.00,0.00,0,0,0,LOCAL_ONLY,CLEAN,MODERATE,LOCAL_ONLY,DIAGNOSTIC_ONLY
es_1x_ny_early_core__us_early_long,ES,LEGACY_LOCAL_PAPER,WATCHLIST,0,3,5,5,-462.50,0.00,-462.50,-92.50,0.00,0.00,462.50,4,0.50,0.00,0,0,0,LOCAL_ONLY,CLEAN,MODERATE,LOCAL_ONLY,DIAGNOSTIC_ONLY
es_1x_ny_early_core__us_early_short_breakdown,ES,LEGACY_LOCAL_PAPER,WATCHLIST,0,3,4,4,375.00,0.00,375.00,93.75,75.00,5.29,87.50,1,0.40,0.00,0,0,0,LOCAL_ONLY,CLEAN,MODERATE,LOCAL_ONLY,DIAGNOSTIC_ONLY
es_1x_ny_early_core__us_early_short_reclaim_fail,ES,LEGACY_LOCAL_PAPER,WATCHLIST,0,3,4,4,287.50,0.00,287.50,71.88,50.00,3.88,100.00,1,0.40,0.00,0,0,0,LOCAL_ONLY,CLEAN,MODERATE,LOCAL_ONLY,DIAGNOSTIC_ONLY
es_1x_ny_early_core__us_late_long,ES,LEGACY_LOCAL_PAPER,WATCHLIST,0,3,5,5,-62.50,0.00,-62.50,-12.50,40.00,0.83,237.50,2,0.50,0.00,0,0,0,LOCAL_ONLY,CLEAN,MODERATE,LOCAL_ONLY,DIAGNOSTIC_ONLY
es_1x_ny_early_core__us_late_short_reclaim_fail,ES,LEGACY_LOCAL_PAPER,WATCHLIST,0,3,6,6,-787.50,0.00,-787.50,-131.25,50.00,0.11,887.50,2,0.60,0.00,0,0,0,LOCAL_ONLY,CLEAN,MODERATE,LOCAL_ONLY,DIAGNOSTIC_ONLY
es_1x_ny_early_core__us_midday_long,ES,LEGACY_LOCAL_PAPER,WATCHLIST,0,3,5,5,-12.50,0.00,-12.50,-2.50,40.00,0.92,125.00,2,0.50,0.00,0,0,0,LOCAL_ONLY,CLEAN,MODERATE,LOCAL_ONLY,DIAGNOSTIC_ONLY
es_1x_ny_early_core__us_midday_short_breakdown,ES,LEGACY_LOCAL_PAPER,WATCHLIST,0,3,5,5,-275.00,0.00,-275.00,-55.00,20.00,0.19,312.50,3,0.50,0.00,0,0,0,LOCAL_ONLY,CLEAN,MODERATE,LOCAL_ONLY,DIAGNOSTIC_ONLY
gc_1x_all_lanes__asia_early_long,GC,IBKR_SUBMIT_CAPABLE_NO_ACTION,PROMISING,0,3,5,6,920.00,0.00,920.00,153.33,33.33,3.42,350.00,3,0.60,0.00,0,0,0,CLEAN,CLEAN,HIGH_OVERLAP_SAME_UNDERLYING,NORMAL,PAPER_PROBATION
gc_1x_all_lanes__asia_early_short,GC,IBKR_SUBMIT_CAPABLE_NO_ACTION,DEGRADED,0,3,5,8,-240.00,0.00,-240.00,-30.00,25.00,0.66,460.00,4,0.80,0.00,0,0,0,CLEAN,CLEAN,HIGH_OVERLAP_SAME_UNDERLYING,NORMAL,WATCHLIST
